19-04-14-11:23 | 8f5bd9513f | 0.30 | 4 | 0.167029 | 0.049111 |0.206346 | 0.077969 | 4 | All Ratios
19-04-14-11:23 | 8f5bd9513f | 0.30 | 4 | 0.183448 | 0.031641 |0.224698 | 0.061301 | 5 | 500 data pts.
19-04-14-11:24 | 8f5bd9513f | 0.30 | 4 | 0.164739 | 0.089375 |0.215859 | 0.170006 | 5 | 500 data pts.
19-04-14-11:24 | 8f5bd9513f | 0.30 | 4 | 0.166603 | 0.044125 |0.222735 | 0.082465 | 5 | 500 data pts.
19-04-14-11:24 | 8f5bd9513f | 0.30 | 4 | 0.177132 | 0.024496 |0.213975 | 0.040596 | 5 | 500 data pts.
19-04-14-11:24 | 8f5bd9513f | 0.30 | 4 | 0.176772 | 0.037314 |0.212458 | 0.061036 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.175094 | 0.045406 |0.224222 | 0.076534 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.167450 | 0.320004 |0.221572 | 1.000000 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.171199 | 0.111384 |0.212368 | 0.208089 | 4 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.148789 | 0.083981 |0.183993 | 0.168713 | 4 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.145100 | 0.067358 |0.176793 | 0.109864 | 4 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.161164 | 0.065512 |0.201490 | 0.141043 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.163922 | 0.076968 |0.206616 | 0.135548 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.176023 | 0.043948 |0.217794 | 0.080086 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.173764 | 0.054584 |0.221245 | 0.083264 | 5 | 500 data pts.
19-04-14-11:26 | 8f5bd9513f | 0.30 | 4 | 0.171703 | 0.052025 |0.211054 | 0.106157 | 5 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.055724 | 0.065059 |0.070664 | 0.136806 | 5 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.059846 | 0.041940 |0.072037 | 0.068475 | 4 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.058224 | 0.033822 |0.074785 | 0.071631 | 4 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.056891 | 0.071130 |0.065554 | 0.110414 | 4 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.059299 | 0.051222 |0.071342 | 0.091577 | 3 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.055239 | 0.324970 |0.070263 | 1.000000 | 4 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.055774 | 0.061061 |0.070886 | 0.128274 | 5 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.055292 | 0.338668 |0.065659 | 1.000000 | 5 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.054525 | 0.329149 |0.067024 | 1.000000 | 5 | 500 data pts.
19-04-14-11:35 | 8f5bd9513f | 0.10 | 4 | 0.057031 | 0.062021 |0.070002 | 0.099066 | 3 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.258189 | 0.073577 |0.297845 | 0.142581 | 6 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.279754 | 0.032574 |0.326819 | 0.066115 | 6 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.250271 | 0.055765 |0.296140 | 0.087136 | 7 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.241495 | 0.065852 |0.276194 | 0.127410 | 8 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.255547 | 0.063073 |0.309361 | 0.092127 | 6 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.281475 | 0.349495 |0.364939 | 1.000000 | 10 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.251798 | 0.041191 |0.300813 | 0.085647 | 7 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.262605 | 0.057885 |0.308306 | 0.099485 | 6 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.277224 | 0.041247 |0.367213 | 0.074962 | 6 | 500 data pts.
19-04-14-11:37 | 8f5bd9513f | 0.50 | 4 | 0.281855 | 0.036576 |0.373772 | 0.061690 | 5 | All Ratios
